geography code,total,1,2,3,4,5,6+
E02001786,3178,5,48,361,774,1095,895
E02001787,2457,3,14,184,403,963,890
E02001788,2636,3,33,314,611,764,911
E02001789,2471,0,13,67,234,395,1762
E02001790,2633,6,37,173,392,713,1312
E02001791,2427,2,11,90,261,698,1365
E02001792,3048,2,17,158,463,640,1768
E02001793,3822,5,60,450,1394,1176,737
E02001794,3732,3,39,305,1103,1218,1064
E02001795,3577,21,84,502,1088,973,909
E02001796,4426,113,109,487,1227,1112,1378
E02001797,2486,0,15,228,432,691,1120
E02001798,3445,17,47,290,1137,1070,884
E02001799,4424,11,62,487,1208,1632,1024
E02001800,3014,3,23,113,693,1083,1099
E02001801,2515,9,50,283,828,668,677
E02001802,2638,5,45,154,775,977,682
E02001803,4188,133,305,1235,1131,558,826
E02001804,2706,5,28,190,724,877,882
E02001805,2501,5,17,94,545,795,1045
E02001806,4143,42,213,790,1299,896,903
E02001807,3027,1,24,303,464,1052,1183
E02001808,2468,14,32,148,387,656,1231
E02001809,2881,5,29,243,482,906,1216
E02001810,3699,5,30,261,687,1228,1488
E02001811,4087,19,56,389,1252,1233,1138
E02001812,4354,3,34,221,450,858,2788
E02001813,4318,12,61,506,1116,1423,1200
E02001814,2762,13,26,327,502,837,1057
E02001815,4244,2,25,185,578,919,2535
E02001816,3357,4,38,390,1379,899,647
E02001817,2714,5,25,285,617,742,1040
E02001818,3530,8,52,384,850,887,1349
E02001819,3054,9,40,136,594,562,1713
E02001820,3618,6,50,273,769,1012,1508
E02001821,2453,12,36,194,477,702,1032
E02001822,3165,2,16,148,642,827,1530
E02001823,3064,1,24,242,834,1017,946
E02001824,3722,5,32,355,667,1190,1473
E02001825,3232,7,25,356,794,930,1120
E02001826,2917,3,25,327,797,824,941
E02002615,3952,8,44,261,803,1179,1657
E02002616,2941,4,24,47,325,583,1958
E02002617,2668,6,49,236,436,679,1262
E02002618,2143,9,55,144,248,443,1244
E02002619,3057,32,92,343,563,751,1276
E02002620,3225,34,171,596,851,603,970
E02002621,2610,14,80,371,385,702,1058
E02002622,3903,12,62,367,984,1592,886
E02002623,4559,34,118,503,1165,1506,1233
E02002624,3346,5,34,97,427,761,2022
E02002625,3935,14,64,390,821,1018,1628
E02002626,3091,5,12,211,475,1082,1306
E02002627,2969,4,18,48,325,770,1804
E02002628,3132,10,49,269,659,926,1219
E02002629,2588,4,53,221,575,972,763
E02002630,2661,18,91,155,565,851,981
E02002631,3925,5,37,245,765,1125,1748
E02002632,2648,2,13,64,412,545,1612
E02002633,3595,8,52,279,607,1017,1632
E02002634,4040,5,51,594,835,1278,1277
E02002635,3683,6,101,362,565,819,1830
E02002636,3738,3,42,328,574,1171,1620
E02002637,2673,3,20,89,286,728,1547
E02002638,2907,129,356,660,500,268,994
E02002639,2745,14,101,661,634,834,501
E02002640,3493,27,99,708,866,877,916
E02002641,3570,5,35,245,606,978,1701
E02002642,3382,122,417,859,569,371,1044
E02002643,3358,10,111,367,523,816,1531
E02002644,3512,5,65,174,514,910,1844
E02002645,2581,129,379,599,506,288,680
E02002646,3352,20,69,393,911,967,992
E02002647,3655,10,101,287,731,1051,1475
E02002648,3267,4,25,214,766,1093,1165
E02002649,3675,46,163,415,510,622,1919
E02002650,3610,0,26,266,722,1056,1540
E02002651,3531,11,29,309,479,883,1820
E02003811,2433,0,8,49,213,337,1826
E02003812,2419,1,15,145,299,427,1532
E02003813,2710,13,54,186,440,586,1431
E02003814,2961,3,21,135,487,693,1622
E02003815,2897,10,35,233,568,935,1116
E02003816,3192,7,56,326,704,929,1170
E02003817,3005,1,18,140,419,673,1754
E02003818,2467,1,11,72,300,492,1591
E02003819,2540,4,25,130,372,612,1397
E02003820,2770,10,24,78,418,718,1522
E02003821,2530,2,23,219,499,694,1093
E02003822,4584,8,40,140,581,1129,2686
E02003823,2967,5,28,245,323,659,1707
E02003824,2216,10,20,112,289,489,1296
E02003825,2618,4,21,68,437,520,1568
E02003826,2998,3,23,206,459,1173,1134
E02003827,3882,14,92,489,943,1481,863
E02003828,2804,9,32,225,641,1057,840
E02003829,2549,5,26,144,485,835,1054
E02003830,3213,23,72,368,669,1157,924
E02003831,3660,2,16,114,341,814,2373
E02003832,2488,15,95,238,334,640,1166
E02003833,2640,0,9,120,349,917,1245
E02003834,2786,7,54,291,419,779,1236
E02003835,3303,0,6,43,265,610,2379
E02003836,3419,8,84,434,703,840,1350
E02003837,4612,13,26,152,412,660,3349
E02003838,2764,9,14,76,357,772,1536
E02003839,3291,2,51,290,639,779,1530
E02003840,4140,7,31,186,378,632,2906
E02003853,2472,2,23,100,352,471,1524
E02003854,2697,5,10,147,272,552,1711
E02003855,2811,1,17,134,328,501,1830
E02003856,4778,27,124,600,1145,1009,1873
E02003857,2735,1,29,172,432,634,1467
E02003858,2911,5,28,219,537,371,1751
E02003859,4801,3,30,176,668,799,3125
E02003860,2889,2,28,44,267,492,2056
E02003861,2896,0,38,241,422,801,1394
E02003862,2093,6,7,60,163,191,1666
E02003863,3014,9,74,208,337,467,1919
E02003864,3624,6,40,265,570,585,2158
E02003865,3437,2,45,311,733,866,1480
E02003866,2402,1,11,79,274,323,1714
E02003867,3140,1,39,189,581,741,1589
E02003868,3901,6,52,488,945,1025,1385
E02003869,2992,2,27,227,397,630,1709
E02003870,5079,26,180,677,1435,1288,1473
E02003871,3058,2,33,321,659,905,1138
E02003872,4188,6,24,204,440,682,2832
E02003873,2665,11,53,389,764,722,726
E02003794,3531,11,34,166,486,829,2005
E02003795,2211,6,13,34,146,424,1588
E02003796,3254,6,23,229,629,853,1514
E02003797,3990,43,113,205,472,665,2492
E02003798,2488,2,30,196,496,941,823
E02003799,3103,2,34,267,819,1107,874
E02003800,2603,0,3,34,282,509,1775
E02003801,2888,5,6,60,289,762,1766
E02003802,4274,42,282,1033,1261,776,880
E02003803,3869,98,305,777,741,650,1298
E02003804,3217,6,58,309,665,862,1317
E02003805,2535,7,17,66,163,456,1826
E02003806,2547,2,23,98,327,557,1540
E02003807,3832,15,52,200,482,834,2249
E02003808,2776,16,50,239,553,841,1077
E02003809,3061,3,24,103,344,520,2067
E02003810,3445,4,22,116,422,642,2239
E02003841,3462,4,42,283,520,753,1860
E02003842,2367,2,20,62,211,335,1737
E02003843,2612,10,16,212,286,835,1253
E02003844,2948,3,12,104,371,802,1656
E02003845,3846,31,102,559,1081,1091,982
E02003846,2928,4,40,300,520,1330,734
E02003847,3844,3,13,69,251,729,2779
E02003848,2135,2,9,174,135,835,980
E02003849,3003,2,27,354,521,1090,1009
E02003850,2265,3,12,111,162,826,1151
E02003851,2375,1,4,26,121,564,1659
E02003852,2792,1,11,52,285,677,1766
E02003874,4025,10,37,327,577,925,2149
E02003875,2681,0,8,67,259,485,1862
E02003876,2393,9,22,88,413,778,1083
E02003877,3884,4,24,193,490,727,2446
E02003878,3299,5,15,111,481,799,1888
E02003879,2800,9,83,272,768,832,836
E02003880,2755,2,22,97,454,929,1251
E02003881,2730,9,38,291,615,744,1033
E02003882,3989,13,43,258,879,1276,1520
E02003883,4031,3,29,182,433,570,2814
E02003884,3318,1,21,102,339,547,2308
E02003885,2408,4,9,54,342,614,1385
E02003886,2599,9,27,102,368,1052,1041
E02003887,2496,3,11,83,371,702,1326
E02003888,2627,4,27,187,528,944,937
E02003889,2297,1,17,223,380,872,804
E02003890,2454,1,23,150,436,776,1068
E02003891,2455,9,16,90,312,426,1602
E02002574,2986,2,11,88,347,712,1826
E02002575,3732,2,31,175,405,533,2586
E02002576,3233,6,40,389,534,1123,1141
E02002577,3287,8,41,423,717,1238,860
E02002578,3207,6,34,258,377,966,1566
E02002579,3193,8,31,268,432,1313,1141
E02002580,3426,9,98,501,854,1247,717
E02002581,3108,4,22,180,383,989,1530
E02002582,3103,1,10,64,241,461,2326
E02002583,3093,1,30,240,740,1048,1034
E02002584,3089,2,22,193,389,1058,1425
E02002585,4897,9,141,571,1105,1406,1665
E02002586,4060,12,43,410,705,1643,1247
E02002587,2919,12,75,272,533,1323,704
E02002588,3245,9,60,468,384,1531,793
E02002589,2734,2,5,47,303,817,1560
E02002590,2525,1,7,63,267,481,1706
E02002591,2772,4,17,177,334,632,1608
E02002592,2557,2,17,76,295,777,1390
E02002593,2367,9,52,201,471,589,1045
E02002594,2472,17,110,312,508,642,883
E02002595,3409,10,37,561,682,1403,716
E02002596,3538,5,19,203,505,991,1815
E02002597,3837,17,47,544,627,1490,1112
E02002598,2892,7,24,238,334,462,1827
E02002599,4129,5,21,289,542,671,2601
E02002600,4104,8,60,400,951,1439,1246
E02002601,3343,1,19,99,415,1010,1799
E02002602,3166,18,89,447,758,1174,680
E02002603,2862,1,10,86,294,839,1632
E02002604,3141,2,13,98,304,713,2011
E02002605,3742,4,48,237,265,1259,1929
E02002606,4930,19,233,958,1345,1376,999
E02002607,4868,37,218,981,928,1438,1266
E02002608,3526,0,15,53,311,1045,2102
E02002609,3731,14,120,622,637,1514,824
E02002610,5171,7,58,277,697,980,3152
E02002611,3253,2,23,196,282,670,2080
E02002612,4009,3,50,288,456,765,2447
E02002613,2402,1,6,32,137,320,1906
E02002614,2394,2,4,17,105,206,2060
E02003965,4705,5,29,182,779,1326,2384
E02003966,2945,2,13,57,256,518,2099
E02003967,3580,2,17,107,536,896,2022
E02003968,3755,9,50,221,602,1137,1736
E02003969,2898,2,22,160,570,1188,956
E02003970,3454,2,42,212,659,728,1811
E02003971,3513,3,26,93,507,887,1997
E02003972,4141,11,47,214,823,1118,1928
E02003973,4132,7,66,296,1150,1503,1110
E02003974,3461,4,28,225,678,1304,1222
E02003975,2749,3,7,62,405,706,1566
E02003976,3012,11,59,244,542,701,1455
E02003977,2680,3,17,63,389,790,1418
E02003978,2618,4,21,125,419,959,1090
E02003979,3350,1,16,46,438,854,1995
E02003980,3189,6,95,464,705,1189,730
E02003981,2990,4,23,134,542,761,1526
E02003982,3224,1,7,131,380,976,1729
E02003983,3426,2,28,250,796,1252,1098
E02003984,3422,20,145,395,874,1111,877
E02003985,3088,2,23,231,828,1035,969
E02003986,3237,2,43,309,736,981,1166
E02003987,2629,8,34,138,390,605,1454
E02003988,2948,3,47,202,489,692,1515
E02003989,3335,0,13,146,551,739,1886
E02003990,4217,8,28,109,627,918,2527
E02003991,3197,1,19,72,423,710,1972
E02003992,4201,108,205,581,976,788,1543
E02003993,3720,2,9,113,460,660,2476
E02003994,3519,7,53,293,1237,934,995
E02003995,4475,9,55,611,1218,1378,1204
E02003996,4756,20,155,502,1380,1314,1385
E02003997,4280,4,53,367,1415,1363,1078
E02003998,3007,8,18,171,692,1102,1016
E02003999,4058,2,31,155,567,880,2423
E02004000,2309,2,16,53,379,872,987
E02004001,2735,19,127,369,603,573,1044
E02004002,4325,3,46,146,667,1233,2230
E02004003,5278,4,35,156,1122,1764,2197
E02004004,3983,7,49,145,728,1694,1360
E02004005,3605,6,28,167,581,1401,1422
E02004006,3926,1,15,117,453,774,2566
E02004007,4375,7,32,164,790,1302,2080
E02004008,2771,10,24,97,373,547,1720
E02004009,2493,4,25,61,301,452,1650
E02004010,3354,52,144,454,885,850,969
E02004011,4311,4,59,150,734,1052,2312
E02004012,2491,12,28,66,352,486,1547
E02004013,4319,5,58,165,582,1013,2496
E02004014,3304,1,40,144,390,678,2051
E02004015,2924,24,112,338,611,594,1245
E02004016,3738,17,89,320,716,854,1742
E02004017,3865,7,123,284,748,988,1715
E02004018,3783,25,233,573,865,927,1160
E02004019,3397,3,29,168,541,905,1751
E02004020,3597,5,50,194,680,933,1735
E02004021,2404,4,27,83,365,518,1407
E02004022,2493,4,13,77,349,548,1502
E02004023,2661,2,44,191,496,534,1394
E02004024,3107,3,17,65,341,649,2032
E02004025,3656,2,69,130,638,868,1949
E02004026,3745,18,70,286,735,928,1708
E02004027,3744,9,26,265,699,936,1809
E02004028,3438,2,21,101,416,841,2057
E02000984,3146,1,38,100,408,637,1962
E02000985,3205,1,16,68,464,695,1961
E02000986,3682,9,158,327,731,859,1598
E02000987,3288,11,50,364,824,905,1134
E02000988,3496,3,52,427,975,858,1181
E02000989,3637,0,16,142,525,1017,1937
E02000990,3286,8,40,174,587,819,1658
E02000991,3316,2,44,163,841,834,1432
E02000992,2518,3,15,160,374,772,1194
E02000993,3135,11,77,511,792,1104,640
E02000994,3343,13,102,662,1184,759,623
E02000995,3430,1,27,225,687,850,1640
E02000996,3321,5,53,501,937,921,904
E02000997,2372,4,21,135,381,500,1331
E02000998,3654,50,186,469,1232,818,899
E02000999,3580,46,208,1132,1216,570,408
E02001000,4123,93,158,385,1159,1141,1187
E02001001,3197,13,38,247,707,662,1530
E02001002,4018,4,40,236,1014,1349,1375
E02001003,2850,1,10,75,266,531,1967
E02001004,3185,31,130,559,1043,790,632
E02001005,3130,19,133,450,835,735,958
