geography code,total,1,2,3,4+
E02001822,3165,863,1083,619,600
E02001823,3064,891,1074,545,554
E02001824,3722,1110,1386,638,588
E02001825,3232,1082,1157,530,463
E02001826,2917,946,991,480,500
E02002615,3952,1278,1307,589,778
E02002616,2941,635,924,439,943
E02002617,2668,622,502,356,1188
E02002618,2143,481,394,267,1001
E02002619,3057,1034,681,409,933
E02002620,3225,1346,689,336,854
E02002621,2610,732,483,319,1076
E02002622,3903,1250,1054,621,978
E02002623,4559,1768,1307,704,780
E02002624,3346,803,1330,555,658
E02002625,3935,1194,1158,654,929
E02002626,3091,943,1050,546,552
E02002627,2969,619,1017,570,763
E02002628,3132,1076,1075,488,493
E02002629,2588,911,856,394,427
E02002630,2661,902,862,429,468
E02002631,3925,1195,1311,674,745
E02002632,2648,630,1082,458,478
E02002633,3595,1267,1285,516,527
E02002634,4040,1586,1419,506,529
E02002635,3683,1344,1322,487,530
E02002636,3738,1200,1311,606,621
E02002637,2673,766,1003,444,460
E02002638,2907,1530,703,292,382
E02002639,2745,1202,731,403,409
E02002640,3493,1541,975,451,526
E02002641,3570,1132,1204,617,617
E02002642,3382,1897,790,326,369
E02002643,3358,1220,1071,530,537
E02002644,3512,1117,1173,609,613
E02002645,2581,1434,628,234,285
E02002646,3352,1288,1133,462,469
E02002647,3655,1273,1188,593,601
E02002648,3267,1026,1138,606,497
E02002649,3675,1357,1139,559,620
E02002650,3610,1110,1397,570,533
E02002651,3531,1156,1223,534,618
E02003811,2433,536,1018,390,489
E02003812,2419,645,938,401,435
E02003813,2710,805,975,480,450
E02003814,2961,723,999,570,669
E02003815,2897,858,1008,490,541
E02003816,3192,1158,1114,480,440
E02003817,3005,827,1121,511,546
E02003818,2467,613,993,419,442
E02003819,2540,714,1027,391,408
E02003820,2770,719,913,526,612
E02003821,2530,869,932,367,362
E02003822,4584,1159,1900,762,763
E02003823,2967,958,1138,403,468
E02003824,2216,632,787,374,423
E02003825,2618,571,839,541,667
E02003826,2998,852,963,502,681
E02003827,3882,1350,1228,626,678
E02003828,2804,837,918,516,533
E02003829,2549,800,1011,362,376
E02003830,3213,1130,984,557,542
E02003831,3660,814,1414,669,763
E02003832,2488,804,698,446,540
E02003833,2640,723,880,474,563
E02003834,2786,817,893,511,565
E02003835,3303,746,1404,518,635
E02003836,3419,1412,1200,392,415
E02003837,4612,1018,1641,793,1160
E02003838,2764,798,1135,409,422
E02003839,3291,1160,1222,458,451
E02003840,4140,962,1722,618,838
E02003853,2472,691,983,384,414
E02003854,2697,684,1027,436,550
E02003855,2811,738,1127,439,507
E02003856,4778,1878,1473,654,773
E02003857,2735,763,993,476,503
E02003858,2911,936,1043,377,555
E02003859,4801,1312,1944,712,833
E02003860,2889,733,1040,464,652
E02003861,2896,954,1050,430,462
E02003862,2093,503,894,260,436
E02003863,3014,940,1111,435,528
E02003864,3624,1302,1264,482,576
E02003865,3437,1124,1250,511,552
E02003866,2402,567,850,413,572
E02003867,3140,885,1074,524,657
E02003868,3901,1470,1311,550,570
E02003869,2992,866,1122,456,548
E02003870,5079,2050,1710,730,589
E02003871,3058,958,1030,523,547
E02003872,4188,1083,1776,617,712
E02003873,2665,881,903,437,444
E02003794,3531,918,1325,584,704
E02003795,2211,504,852,385,470
E02003796,3254,1066,1169,508,511
E02003797,3990,1180,1430,620,760
E02003798,2488,739,771,441,537
E02003799,3103,1064,978,525,536
E02003800,2603,621,1048,392,542
E02003801,2888,750,996,532,610
E02003802,4274,2016,1464,446,348
E02003803,3869,1755,1121,338,655
E02003804,3217,1194,1107,460,456
E02003805,2535,656,981,314,584
E02003806,2547,720,911,423,493
E02003807,3832,1282,1504,516,530
E02003808,2776,861,950,448,517
E02003809,3061,734,1220,462,645
E02003810,3445,978,1318,515,634
E02003841,3462,1136,1299,481,546
E02003842,2367,661,999,325,382
E02003843,2612,829,959,408,416
E02003844,2948,819,1110,512,507
E02003845,3846,1576,1156,579,535
E02003846,2928,958,917,506,547
E02003847,3844,821,1400,729,894
E02003848,2135,615,727,366,427
E02003849,3003,1043,913,514,533
E02003850,2265,586,840,418,421
E02003851,2375,545,888,427,515
E02003852,2792,652,1041,509,590
E02003874,4025,1238,1524,595,668
E02003875,2681,601,1139,419,522
E02003876,2393,688,847,408,450
E02003877,3884,990,1556,587,751
E02003878,3299,819,1296,549,635
E02003879,2800,935,953,485,427
E02003880,2755,820,1001,434,500
E02003881,2730,944,915,421,450
E02003882,3989,1165,1313,674,837
E02003883,4031,976,1453,691,911
E02003884,3318,804,1423,441,650
E02003885,2408,623,962,382,441
E02003886,2599,621,902,474,602
E02003887,2496,570,903,499,524
E02003888,2627,822,885,465,455
E02003889,2297,662,743,358,534
E02003890,2454,618,902,461,473
E02003891,2455,666,997,355,437
E02002574,2986,754,1118,534,580
E02002575,3732,775,1261,721,975
E02002576,3233,1077,1054,552,550
E02002577,3287,1131,1020,556,580
E02002578,3207,950,1005,557,695
E02002579,3193,916,998,615,664
E02002580,3426,1287,1057,563,519
E02002581,3108,825,1167,572,544
E02002582,3103,521,1168,633,781
E02002583,3093,1166,938,457,532
E02002584,3089,891,1002,544,652
E02002585,4897,1758,1696,751,692
E02002586,4060,1305,1203,687,865
E02002587,2919,804,1040,520,555
E02002588,3245,1064,1044,541,596
E02002589,2734,609,1167,469,489
E02002590,2525,603,975,404,543
E02002591,2772,785,1047,424,516
E02002592,2557,630,981,443,503
E02002593,2367,734,889,378,366
E02002594,2472,896,754,403,419
E02002595,3409,1132,1056,555,666
E02002596,3538,923,1367,650,598
E02002597,3837,1213,1226,661,737
E02002598,2892,578,902,622,790
E02002599,4129,887,1370,758,1114
E02002600,4104,1390,1330,717,667
E02002601,3343,861,1224,604,654
E02002602,3166,1095,943,545,583
E02002603,2862,616,1090,548,608
E02002604,3141,734,1203,575,629
E02002605,3742,904,1326,680,832
E02002606,4930,2002,1610,744,574
E02002607,4868,1912,1685,687,584
E02002608,3526,843,1438,565,680
E02002609,3731,1422,1155,575,579
E02002610,5171,1411,1872,807,1081
E02002611,3253,800,1205,552,696
E02002612,4009,1243,1335,645,786
E02002613,2402,494,907,417,584
E02002614,2394,426,995,388,585
E02003965,4705,1470,1705,651,879
E02003966,2945,745,1224,401,575
E02003967,3580,1009,1412,506,653
E02003968,3755,1120,1415,546,674
E02003969,2898,944,948,486,520
E02003970,3454,1097,1282,479,596
E02003971,3513,1005,1406,503,599
E02003972,4141,1384,1390,666,701
E02003973,4132,1595,1310,626,601
E02003974,3461,1082,1255,557,567
E02003975,2749,726,1148,393,482
E02003976,3012,992,1215,382,423
E02003977,2680,724,962,465,529
E02003978,2618,810,950,407,451
E02003979,3350,908,1417,505,520
E02003980,3189,1274,979,470,466
E02003981,2990,984,970,509,527
E02003982,3224,858,1223,512,631
E02003983,3426,1224,1038,574,590
E02003984,3422,1622,936,443,421
E02003985,3088,1078,1117,431,462
E02003986,3237,1309,1065,428,435
E02003987,2629,789,998,358,484
E02003988,2948,963,1083,386,516
E02003989,3335,1004,1195,538,598
E02003990,4217,1195,1666,597,759
E02003991,3197,733,1316,523,625
E02003992,4201,1970,1208,469,554
E02003993,3720,997,1491,580,652
E02003994,3519,1374,1184,470,491
E02003995,4475,1731,1461,610,673
E02003996,4756,1996,1488,678,594
E02003997,4280,1548,1324,653,755
E02003998,3007,984,985,498,540
E02003999,4058,1139,1629,579,711
E02004000,2309,611,880,393,425
E02004001,2735,1181,850,330,374
E02004002,4325,1153,1586,713,873
E02004003,5278,1632,1906,808,932
E02004004,3983,1165,1388,677,753
E02004005,3605,1128,1300,529,648
E02004006,3926,1090,1627,556,653
E02004007,4375,1348,1661,634,732
E02004008,2771,801,1080,392,498
E02004009,2493,626,1021,353,493
E02004010,3354,1325,1101,429,499
E02004011,4311,1275,1717,603,716
E02004012,2491,705,1082,310,394
E02004013,4319,1291,1685,574,769
E02004014,3304,935,1342,461,566
E02004015,2924,1153,1143,300,328
E02004016,3738,1234,1444,477,583
E02004017,3865,1321,1412,540,592
E02004018,3783,1508,1194,507,574
E02004019,3397,890,1397,495,615
E02004020,3597,1066,1320,553,658
E02004021,2404,728,1064,300,312
E02004022,2493,685,1098,329,381
E02004023,2661,947,1081,277,356
E02004024,3107,763,1412,390,542
E02004025,3656,1145,1571,423,517
E02004026,3745,1425,1270,513,537
E02004027,3744,1307,1605,385,447
E02004028,3438,919,1498,475,546
E02000984,3146,666,1228,555,697
E02000985,3205,793,1281,516,615
E02000986,3682,1170,1321,532,659
E02000987,3288,1187,1098,510,493
E02000988,3496,1238,985,520,753
E02000989,3637,1009,1444,566,618
E02000990,3286,874,1249,578,585
E02000991,3316,1014,1128,558,616
E02000992,2518,706,990,373,449
E02000993,3135,1164,854,513,604
E02000994,3343,1392,797,409,745
E02000995,3430,1022,1163,582,663
E02000996,3321,1164,987,523,647
E02000997,2372,666,845,408,453
E02000998,3654,1475,961,513,705
E02000999,3580,1909,817,347,507
E02001000,4123,1564,1326,606,627
E02001001,3197,951,1006,528,712
E02001002,4018,1090,1437,767,724
E02001003,2850,617,1117,458,658
E02001004,3185,1242,680,378,885
E02001005,3130,1125,844,417,744
E02001006,2801,797,734,439,831
E02001007,4396,1220,1610,746,820
E02001008,2843,820,678,424,921
E02001009,2975,1094,890,462,529
E02001010,2468,858,750,359,501
E02001011,4125,1044,1512,761,808
E02001012,2919,711,898,510,800
E02001013,2495,622,973,397,503
E02001014,3650,1196,1230,627,597
E02001015,3762,1582,1140,517,523
E02001016,3354,1040,954,592,768
E02001017,4663,1403,1549,841,870
E02001018,3008,666,1037,598,707
E02001019,3982,1313,1416,630,623
E02001020,2483,608,1004,378,493
E02001021,3115,707,1156,586,666
E02001022,3326,1033,1162,533,598
E02001023,2324,525,858,429,512
E02001024,3341,813,1233,624,671
E02001025,3349,1201,1027,520,601
E02001026,3671,1325,1011,552,783
E02001027,3029,1133,926,496,474
E02001028,3108,709,1309,482,608
E02001029,2880,1019,832,416,613
E02001030,2346,545,849,453,499
E02001031,2841,964,930,447,500
E02001032,3120,844,1120,549,607
E02001033,2390,759,763,373,495
E02001034,3831,1708,1101,504,518
E02001035,2981,779,1069,525,608
E02001036,3011,837,1024,519,631
E02001037,3016,877,1071,501,567
E02001038,2637,1000,880,381,376
E02001039,3443,1118,989,611,725
E02001040,2548,808,839,418,483
E02001041,3369,1159,1071,516,623
E02001042,2875,1135,887,392,461
E02001043,2307,736,772,386,413
E02001044,2790,608,704,426,1052
E02001045,3622,1354,1108,601,559
E02001046,3956,1338,1113,738,767
E02001047,4369,1639,1181,776,773
E02001048,3560,1303,998,503,756
E02001049,4049,1210,1311,779,749
E02001050,3195,1243,894,521,537
E02001051,3393,1060,1044,652,637
E02001052,4384,1414,929,647,1394
E02001053,4494,1904,1089,689,812
E02001055,3829,1428,1149,637,615
E02001056,3463,1251,945,566,701
E02001057,4018,1649,1439,489,441
E02001059,4369,1667,1236,698,768
E02001061,3863,1448,1052,609,754
E02001062,3546,1473,817,518,738
E02001063,3629,1390,1217,535,487
E02001064,3624,1319,866,570,869
E02001065,3787,1343,1103,634,707
E02001066,3533,1195,767,506,1065
E02001067,3791,1276,961,611,943
E02001068,3696,1292,846,654,904
E02001069,4059,1245,979,816,1019
E02001070,3294,1169,775,458,892
E02001071,4566,1291,1046,743,1486
E02001072,3741,1546,1030,498,667
E02001073,4015,1336,1267,569,843
E02001074,4299,1365,1168,639,1127
E02001075,3320,1190,837,522,771
E02001076,2965,704,683,457,1121
E02001077,3117,939,986,477,715
E02001078,3835,1055,1072,582,1126
E02001079,3341,916,908,604,913
E02001080,3367,989,901,466,1011
E02001081,2776,893,989,421,473
E02001082,2921,980,1024,407,510
E02001083,3902,1653,1333,464,452
E02001084,3325,922,1033,536,834
E02001085,3177,853,928,617,779
E02001086,2949,1076,961,446,466
E02001087,4402,1550,1598,626,628
E02001088,3780,1178,1225,654,723
E02001089,3123,855,1008,529,731
E02001090,3100,1145,1005,501,449
E02001091,3876,1497,1241,603,535
E02001092,3724,1357,1022,650,695
E02001093,3778,1216,1097,718,747
E02001094,3805,1287,1030,733,755
E02001095,3580,1265,986,673,656
E02001096,3311,1140,1087,547,537
E02001097,3452,1178,995,636,643
E02006902,3368,1591,1374,277,126
E02006912,3885,1652,1893,267,73
E02006913,2939,1125,1002,294,518
E02006914,2299,1087,899,209,104
E02006915,3047,943,824,492,788
E02006916,3274,1510,1352,225,187
E02006917,3087,1361,1521,167,38
E02001098,2756,869,1031,432,424
E02001099,2724,885,926,508,405
E02001100,2586,721,992,403,470
E02001101,2457,583,929,439,506
E02001102,2475,574,866,534,501
E02001103,2353,636,871,377,469
E02001104,2726,692,809,595,630
E02001105,2631,858,870,428,475
E02001106,2668,905,894,437,432
E02001107,2390,637,803,349,601
E02001108,2148,692,676,374,406
E02001109,3332,1268,971,559,534
E02001110,2742,711,1161,451,419
E02001111,2928,1339,678,332,579
E02001112,2371,535,836,464,536
E02001113,2664,682,485,303,1194
E02001114,3381,1132,1020,527,702
E02001115,2539,773,846,450,470
E02001116,2358,668,639,389,662
E02001117,2529,692,948,395,494
E02001118,2602,689,926,438,549
E02001119,2840,629,455,376,1380
E02001121,2224,705,452,371,696
E02001123,2751,917,856,470,508
E02001124,2507,914,727,410,456
E02001125,3351,946,1147,610,648
E02001126,3141,1001,976,580,584
E02001127,2790,737,856,550,647
E02001128,3271,1017,1082,633,539
E02001129,2622,921,873,444,384
E02001130,2520,805,831,422,462
E02001131,2298,668,811,412,407
E02006860,4028,989,790,538,1711
E02001132,2860,909,1022,448,481
E02001133,2544,609,966,442,527
E02001134,2583,665,997,429,492
E02001135,3052,1136,780,409,727
E02001136,3667,1064,1300,578,725
E02001137,2497,564,928,468,537
E02001138,3647,956,1309,583,799
E02001139,2906,770,642,398,1096
E02001140,2958,914,871,474,699
E02001141,5181,2299,1176,556,1150
E02001142,2396,624,913,351,508
E02001143,3988,1149,1125,635,1079
E02001144,2702,881,910,435,476
E02001145,3024,832,1113,519,560
E02001146,2896,812,584,400,1100
E02001147,3878,1359,1122,633,764
E02001148,4257,1383,1436,657,781
E02001149,4671,1988,1336,687,660
E02001150,3591,1078,1212,614,687
E02001151,3867,1076,1333,685,773
E02001152,3984,1397,1216,658,713
E02001153,4452,1647,1359,678,768
E02001154,4387,1359,1414,794,820
E02001155,3433,1490,1041,488,414
E02001156,4131,1222,1413,668,828
E02001157,3183,1109,1006,514,554
E02001158,2700,994,850,441,415
E02001159,2579,900,855,405,419
E02001160,2555,714,856,466,519
E02001161,2680,888,962,453,377
E02001162,2709,970,950,416,373
E02001163,4182,1339,1500,680,663
E02001164,2677,818,861,507,491
E02001165,2664,826,887,471,480
E02001166,2343,863,556,270,654
E02001167,2710,984,817,430,479
E02001168,4093,1358,1307,706,722
E02001169,4252,968,1523,802,959
E02001170,4130,1141,1529,645,815
E02001171,2336,638,819,395,484
E02001172,4989,2230,1135,631,993
E02001173,3153,1231,931,518,473
E02001174,2362,738,785,405,434
E02001175,2914,917,926,458,613
E02001176,5147,2234,1437,704,772
E02001177,5293,2008,1654,799,832
E02001178,5633,2679,2119,530,305
E02001179,2874,1172,989,392,321
E02001180,2981,1709,718,309,245
E02001181,2606,1031,775,359,441
E02001182,2858,1216,862,379,401
E02001183,2782,954,973,480,375
E02001184,5710,2643,2048,620,399
E02001185,4208,1185,1447,706,870
E02001186,4253,1294,1440,706,813
E02001187,3076,921,1026,552,577
E02001188,3503,1192,1126,566,619
E02001189,3616,1080,1249,595,692
E02001190,3053,1306,767,459,521
E02001191,2618,887,893,357,481
E02001192,2831,1059,865,390,517
E02001193,2952,1169,976,432,375
E02001194,2493,872,785,301,535
E02001195,3208,930,1193,516,569
E02001196,3339,1063,1175,501,600
E02001197,2610,777,850,411,572
E02001198,3341,1104,1151,516,570
E02001199,3413,1186,1100,481,646
E02001200,3446,1846,920,347,333
E02001201,2431,652,856,454,469
E02001202,2998,1194,1030,453,321
E02001203,2387,538,987,368,494
E02001204,3803,1149,1284,639,731
E02001205,3645,1390,1119,601,535
E02001206,2940,899,1022,447,572
E02001207,2942,811,1030,491,610
E02001208,3261,1141,1038,521,561
E02001209,3382,1133,1139,515,595
E02001210,2889,885,934,499,571
E02001211,2413,691,790,357,575
E02001212,2563,742,753,456,612
