geography code,total,OW,SO,SR,PR
E02001816,3357,697,887,1466,25
E02001817,2714,642,903,855,24
E02001818,3530,832,1299,1028,26
E02001819,3054,1339,1201,277,19
E02001820,3618,985,1328,1016,28
E02001821,2453,674,1138,494,11
E02001822,3165,1007,1365,379,25
E02001823,3064,802,1119,829,20
E02001824,3722,1289,1179,939,26
E02001825,3232,1098,999,794,30
E02001826,2917,765,774,1054,16
E02002615,3952,1579,1448,477,55
E02002616,2941,1332,1227,24,38
E02002617,2668,945,609,580,40
E02002618,2143,938,517,331,55
E02002619,3057,961,849,491,58
E02002620,3225,729,474,1332,93
E02002621,2610,988,369,816,66
E02002622,3903,714,869,1735,81
E02002623,4559,943,1453,933,70
E02002624,3346,1577,1391,103,30
E02002625,3935,775,1358,1208,51
E02002626,3091,984,1011,739,58
E02002627,2969,813,1757,17,16
E02002628,3132,962,1072,449,42
E02002629,2588,709,764,486,30
E02002630,2661,681,934,279,36
E02002631,3925,1246,1749,357,48
E02002632,2648,1163,1193,34,19
E02002633,3595,1609,1350,22,34
E02002634,4040,1410,1300,823,58
E02002635,3683,1584,1236,59,34
E02002636,3738,1100,1532,514,35
E02002637,2673,1067,1086,57,21
E02002638,2907,507,530,192,35
E02002639,2745,409,516,1471,64
E02002640,3493,512,770,1021,52
E02002641,3570,1123,1430,85,29
E02002642,3382,548,501,363,31
E02002643,3358,804,1056,257,32
E02002644,3512,1244,1486,36,33
E02002645,2581,381,383,127,28
E02002646,3352,993,1029,829,46
E02002647,3655,1037,1240,244,36
E02002648,3267,959,1189,340,38
E02002649,3675,1182,1226,76,35
E02002650,3610,1460,1375,209,31
E02002651,3531,1389,1336,274,37
E02003811,2433,1226,835,165,48
E02003812,2419,1118,914,146,36
E02003813,2710,1026,1091,287,19
E02003814,2961,793,1514,335,24
E02003815,2897,835,935,859,35
E02003816,3192,1072,1053,463,41
E02003817,3005,1404,1195,174,26
E02003818,2467,1166,1054,13,27
E02003819,2540,1200,920,168,17
E02003820,2770,896,1388,99,13
E02003821,2530,982,802,466,33
E02003822,4584,2042,1734,355,52
E02003823,2967,1340,989,363,33
E02003824,2216,894,835,221,24
E02003825,2618,616,1698,61,11
E02003826,2998,763,1069,765,34
E02003827,3882,967,1002,971,48
E02003828,2804,686,858,899,22
E02003829,2549,1182,926,160,30
E02003830,3213,716,1076,513,35
E02003831,3660,1522,1561,146,48
E02003832,2488,644,770,225,19
E02003833,2640,916,1125,384,25
E02003834,2786,657,969,492,29
E02003835,3303,1746,1365,18,17
E02003836,3419,1372,992,550,35
E02003837,4612,1662,2111,177,57
E02003838,2764,1354,1047,91,24
E02003839,3291,1233,1056,432,37
E02003840,4140,1817,1406,304,91
E02003853,2472,1116,986,118,28
E02003854,2697,1184,1071,282,19
E02003855,2811,1502,1029,59,25
E02003856,4778,1328,1633,1182,42
E02003857,2735,877,1196,303,22
E02003858,2911,1247,1034,136,38
E02003859,4801,2050,1610,273,111
E02003860,2889,1361,1238,45,31
E02003861,2896,962,945,648,36
E02003862,2093,1117,699,73,40
E02003863,3014,1316,1051,240,35
E02003864,3624,1635,1192,250,58
E02003865,3437,1204,1317,297,32
E02003866,2402,1103,1084,39,14
E02003867,3140,1027,1378,365,29
E02003868,3901,1081,1386,889,57
E02003869,2992,1252,1286,152,20
E02003870,5079,1248,1947,377,36
